,year,age,group_1,group_2,group_3,group_4,group_5,group_6
0,2019,19,,,,128.78420358099996,,128.78420358099996
1,2020,20,,,,133.46726552939995,,133.46726552939995
2,2021,21,,,,138.04389425169995,,138.04389425169995
3,2022,22,182.5704426,,,142.72695620009995,176.25342242159994,142.72695620009995
4,2023,23,184.20043151153283,,,147.30358492239995,182.63941598759993,147.30358492239995
5,2024,24,186.37210692625982,,159.6,157.30830817579997,188.91897632749993,151.98664687079997
6,2025,25,189.1623310005156,,160.87312919999997,154.75391074939995,195.30496989349993,154.75391074939995
7,2026,26,192.67352575259883,302.5925312,162.37735919999997,,174.33762435179995,
8,2027,27,197.00774805992282,306.1262067793536,164.1648792,,207.97052379939993,
9,2028,28,202.13231781326223,310.768581393024,166.2985716,,211.90855316509993,
10,2029,29,207.8639342882466,316.808328315776,168.8483412,,215.7401493046999,
11,2030,30,213.9035470998972,324.1909808919936,171.8821776,,219.57174544429995,
12,2031,31,219.50572113107822,332.4181692227904,175.44923759999998,157.62760785409995,223.50977480999993,157.62760785409995
13,2032,32,223.60844411718543,341.094404869888,179.5606932,160.50130495879995,227.34137094959993,160.50130495879995
14,2033,33,226.026772199865,350.294730781024,184.1780808,163.26856883739995,,163.26856883739995
15,2034,34,228.064258339281,359.9434988233984,189.224154,166.14226594209995,,166.14226594209995
16,2035,35,231.86391439067222,369.364112097248,194.6160804,169.01596304679995,,169.01596304679995
17,2036,36,238.805790329652,377.7622652081728,200.30262839999997,171.78322692539996,,171.78322692539996
18,2037,37,247.7384143747422,384.7802937842944,206.2780524,,,
19,2038,38,255.70761419423224,387.69698319253115,212.5575144,,231.27940031529994,
20,2039,39,260.5139636661198,396.70879395672955,219.1295232,,235.11099645489992,
21,2040,40,261.94294252035,404.18646058774397,225.91603439999997,174.65692403009993,239.04902582059992,174.65692403009993
22,2041,41,262.3332781266288,413.6040479362816,232.7711736,177.42418790869993,242.8806219601999,177.42418790869993
23,2042,42,265.792440302571,423.936675099168,239.53055279999998,180.29788501339996,246.71221809979994,180.29788501339996
24,2043,43,275.6638415635104,433.845067533312,246.0806964,183.17158211809993,250.65024746549992,183.17158211809993
25,2044,44,293.1219575666928,442.52705243850244,252.4040484,185.93884599669994,254.48184360509993,185.93884599669994
26,2045,45,315.6420216614028,449.702429130848,258.58024919999997,188.81254310139994,258.41987297079993,188.81254310139994
27,2046,46,337.0224810534036,455.84021603370877,264.7553328,,262.2514691103999,
28,2047,47,352.620204246492,462.3208402744192,271.1031036,191.57980697999994,266.1894984760999,191.57980697999994
29,2048,48,362.3298480952878,471.3444521473344,277.7868324,194.45350408469992,,
30,2049,49,367.5329231389452,485.24464525306877,284.91472799999997,194.77280376299993,,
31,2050,50,367.7200578426102,504.7509701843456,292.4912592,194.98567021519992,,
32,2051,51,361.5102893784564,528.1422806236992,300.38156399999997,195.19853666739994,266.5087981543999,
33,2052,52,350.6358461058726,551.6727836274048,308.3221428,195.51783634569992,266.8280978326999,
34,2053,53,338.64589742900284,569.6658433101504,315.98054879999995,,267.1473975109999,
35,2054,54,327.7405997516196,576.6608748539009,323.0308788,,267.57313041539993,
36,2055,55,,572.6560627034688,,,267.8924300936999,
37,2056,56,,,,,262.5707687886999,
38,2057,57,,,,,257.3555407097999,
39,2058,58,,,,,252.03387940479993,
40,2059,59,,,,195.73070279789994,246.71221809979994,
41,2060,60,,,,191.89910665829996,241.49699002089994,193.38917182369994
42,2061,61,,,,188.06751051869992,,
43,2062,62,,,,184.12948115299994,,
44,2063,63,,,,180.29788501339996,,
45,2064,64,,,,176.46628887379995,,
